,matched_longitude,matched_latitude
866,174.781935,-36.847758
867,174.781975,-36.847764
868,174.782012,-36.84777
869,174.782052,-36.847776
870,174.782116,-36.847783
871,174.782168,-36.847789
872,174.782205,-36.847793
873,174.78226,-36.847799
874,174.782315,-36.847804
875,174.78236,-36.847806
876,174.782404,-36.847808
877,174.782456,-36.84781
878,174.7825,-36.847812
879,174.78254,-36.847814
880,174.782574,-36.847815
881,174.782635,-36.847817
882,174.782698,-36.847816
883,174.782745,-36.847816
884,174.782789,-36.847815
885,174.782839,-36.847815
886,174.782884,-36.847814
887,174.782939,-36.847812
888,174.782986,-36.847808
889,174.783042,-36.847803
890,174.783104,-36.847797
891,174.783152,-36.847792
892,174.783204,-36.847787
893,174.783266,-36.847781
894,174.783321,-36.847775
895,174.783374,-36.847769
896,174.783419,-36.847764
897,174.783469,-36.847759
898,174.783521,-36.847752
899,174.783567,-36.847748
900,174.783609,-36.847744
901,174.783671,-36.847738
902,174.783732,-36.847732
903,174.783785,-36.847728
904,174.783822,-36.847724
905,174.783876,-36.84772
906,174.783925,-36.847716
907,174.783973,-36.847713
908,174.784024,-36.84771
909,174.784075,-36.847707
910,174.784125,-36.847705
911,174.784172,-36.847704
912,174.784222,-36.847704
913,174.78428,-36.847705
914,174.784334,-36.847705
915,174.784387,-36.847707
916,174.784436,-36.847708
917,174.784485,-36.84771
918,174.784539,-36.847712
919,174.784594,-36.847714
920,174.78465,-36.847715
921,174.784709,-36.847717
922,174.784765,-36.847719
923,174.784831,-36.847719
924,174.784898,-36.84772
925,174.784971,-36.847719
926,174.785044,-36.847717
927,174.785123,-36.847714
928,174.785203,-36.847706
929,174.78528,-36.847699
930,174.785362,-36.847688
931,174.785443,-36.847675
932,174.785518,-36.847663
933,174.785608,-36.847649
934,174.785705,-36.847643
935,174.785793,-36.847643
936,174.785874,-36.847642
937,174.785965,-36.847645
938,174.786053,-36.84765
939,174.786143,-36.847654
940,174.786235,-36.847659
941,174.786324,-36.847663
942,174.786409,-36.847668
943,174.786492,-36.847672
944,174.78657,-36.847676
945,174.786648,-36.84768
946,174.786721,-36.847684
947,174.786792,-36.847689
948,174.786863,-36.847693
949,174.786934,-36.847697
950,174.787002,-36.847702
951,174.787071,-36.847706
952,174.78714,-36.847711
953,174.787207,-36.847716
954,174.787261,-36.84772
955,174.787323,-36.847725
956,174.787389,-36.84773
957,174.787451,-36.847735
958,174.787521,-36.84774
959,174.787581,-36.847745
960,174.787647,-36.84775
961,174.787704,-36.847754
962,174.787762,-36.847758
963,174.78781,-36.847761
964,174.787858,-36.847765
965,174.787905,-36.847768
966,174.787959,-36.847772
967,174.78801,-36.847775
968,174.788067,-36.847779
969,174.788122,-36.847783
970,174.788176,-36.847788
971,174.788234,-36.847793
972,174.788297,-36.847799
973,174.788357,-36.847804
974,174.788416,-36.84781
975,174.788475,-36.847815
976,174.788536,-36.847821
977,174.78859,-36.847826
978,174.788646,-36.847832
979,174.788702,-36.847837
980,174.788757,-36.847841
981,174.788817,-36.847845
982,174.78888,-36.84785
983,174.788941,-36.847855
984,174.788999,-36.847857
985,174.789059,-36.847858
986,174.789112,-36.847858
987,174.789164,-36.847857
988,174.789205,-36.847855
989,174.789262,-36.847853
990,174.789318,-36.84785
991,174.789378,-36.847846
992,174.789442,-36.847842
993,174.7895,-36.847842
994,174.78956,-36.847841
995,174.789622,-36.847841
996,174.789682,-36.84784
997,174.789744,-36.847842
998,174.7898,-36.847844
999,174.789857,-36.847847
1000,174.789907,-36.847849
1001,174.789963,-36.847853
1002,174.790036,-36.847858
1003,174.790095,-36.847862
1004,174.790153,-36.847868
1005,174.790212,-36.847873
1006,174.790272,-36.847878
1007,174.790336,-36.847886
1008,174.790396,-36.847893
1009,174.790453,-36.847901
1010,174.790513,-36.84791
1011,174.790572,-36.847921
1012,174.790631,-36.847932
1013,174.790686,-36.847942
1014,174.790743,-36.847952
1015,174.790802,-36.847963
1016,174.79086,-36.847974
1017,174.790916,-36.847987
1018,174.790971,-36.848001
1019,174.791028,-36.848015
1020,174.791082,-36.848029
1021,174.791139,-36.848043
1022,174.791195,-36.848056
1023,174.791252,-36.848071
1024,174.791305,-36.848088
1025,174.791359,-36.848106
1026,174.79141,-36.848122
1027,174.791462,-36.848139
1028,174.791519,-36.84816
1029,174.791571,-36.848179
1030,174.79162,-36.848198
1031,174.791668,-36.848216
1032,174.791719,-36.848236
1033,174.791768,-36.848256
1034,174.791821,-36.848278
1035,174.791868,-36.848297
1036,174.791919,-36.848319
1037,174.791969,-36.848339
1038,174.79202,-36.848361
1039,174.79207,-36.848384
1040,174.792118,-36.848408
1041,174.792163,-36.84843
1042,174.79221,-36.848453
1043,174.792257,-36.848477
1044,174.792304,-36.8485
1045,174.792349,-36.848522
1046,174.792395,-36.848545
1047,174.792439,-36.848567
1048,174.79248,-36.848591
1049,174.792522,-36.848614
1050,174.792565,-36.848639
1051,174.792612,-36.848665
1052,174.792654,-36.84869
1053,174.792693,-36.84872
1054,174.792731,-36.848748
1055,174.792773,-36.848782
1056,174.792813,-36.848815
1057,174.792853,-36.848848
1058,174.79289,-36.848879
1059,174.792925,-36.848911
1060,174.792959,-36.848942
1061,174.792996,-36.848975
1062,174.793032,-36.849008
1063,174.793067,-36.849039
1064,174.793104,-36.849074
1065,174.793139,-36.849105
